,idea,title_a,title_b,title_b_preferred,prompt,chosen,rejected
55,What is entropy?,Understanding Entropy Like a Pro,Entropy Decoded: A Beginner's Guide,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: what is entropy?\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': ""Entropy Decoded: A Beginner's Guide""}]","[{'role': 'assistant', 'content': 'Understanding Entropy Like a Pro'}]"
56,topological data analysis,Simplifying Complex Data with Topological Analysis,Revolutionizing Data Analysis with Topology,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: topological data analysis\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Simplifying Complex Data with Topological Analysis'}]","[{'role': 'assistant', 'content': 'Revolutionizing Data Analysis with Topology'}]"
57,causal discovery,The Ultimate Guide to Causal Discovery,How Causal Discovery Can Revolutionize Your Work,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: causal discovery\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Ultimate Guide to Causal Discovery'}]","[{'role': 'assistant', 'content': 'How Causal Discovery Can Revolutionize Your Work'}]"
58,What is an AI project manager?,How AI Project Managers Drive Success,Meet the AI Project Manager: Job Description,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: what is an ai project manager?\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How AI Project Managers Drive Success'}]","[{'role': 'assistant', 'content': 'Meet the AI Project Manager: Job Description'}]"
59,Evaluating binary classification models,How to Evaluate Binary Classification Models Effectively,5 Key Metrics for Binary Classification Models,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: evaluating binary classification models\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': '5 Key Metrics for Binary Classification Models'}]","[{'role': 'assistant', 'content': 'How to Evaluate Binary Classification Models Effectively'}]"
60,Regularization (ML),5 Key Regularization Techniques for ML Models,Regularization 101: Simplified for ML Beginners,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: regularization (ml)\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': '5 Key Regularization Techniques for ML Models'}]","[{'role': 'assistant', 'content': 'Regularization 101: Simplified for ML Beginners'}]"
61,"Deploying ML solutions with FastAPI, Docker, and AWS","Get ML Deployed with FastAPI, Docker, and AWS in 30 Min","FastAPI, Docker, AWS: Deploy ML Models Like a Pro",1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: deploying ml solutions with fastapi, docker, and aws\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'FastAPI, Docker, AWS: Deploy ML Models Like a Pro'}]","[{'role': 'assistant', 'content': 'Get ML Deployed with FastAPI, Docker, and AWS in 30 Min'}]"
62,AI for business,AI for Business: Real-World Examples Explained,Transform Your Business with AI: Step-by-Step Guide,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: ai for business\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'AI for Business: Real-World Examples Explained'}]","[{'role': 'assistant', 'content': 'Transform Your Business with AI: Step-by-Step Guide'}]"
63,5 AI project ideas,5 AI Projects That Will Blow Your Mind!,From Idea to Reality: 5 AI Projects,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: 5 ai project ideas\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': '5 AI Projects That Will Blow Your Mind!'}]","[{'role': 'assistant', 'content': 'From Idea to Reality: 5 AI Projects'}]"
64,model pruning,How Model Pruning Can Cut Your Training Time in Half,Reduce Model Size & Boost Performance with Pruning,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: model pruning\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How Model Pruning Can Cut Your Training Time in Half'}]","[{'role': 'assistant', 'content': 'Reduce Model Size & Boost Performance with Pruning'}]"
65,Python tutorial for AI beginners,Python for AI: Start Coding Today!,AI with Python: The Easy Way to Begin,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: python tutorial for ai beginners\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Python for AI: Start Coding Today!'}]","[{'role': 'assistant', 'content': 'AI with Python: The Easy Way to Begin'}]"
66,Fine-tuning BERT for text classification,How I Fine-Tuned BERT for Text Classification in 2 Hours,Boost Your Text Classification Game with BERT Fine-Tuning,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fine-tuning bert for text classification\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How I Fine-Tuned BERT for Text Classification in 2 Hours'}]","[{'role': 'assistant', 'content': 'Boost Your Text Classification Game with BERT Fine-Tuning'}]"
67,Fine-tuning LLMs for tool use,How I Fine-Tuned LLMs for Ultimate Tool Integration,Boost Your LLMs with These Fine-Tuning Techniques,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fine-tuning llms for tool use\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How I Fine-Tuned LLMs for Ultimate Tool Integration'}]","[{'role': 'assistant', 'content': 'Boost Your LLMs with These Fine-Tuning Techniques'}]"
68,How to think like a data scientist,5 Thinking Habits of Successful Data Scientists,How to Develop a Data Scientist Mindset,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: how to think like a data scientist\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How to Develop a Data Scientist Mindset'}]","[{'role': 'assistant', 'content': '5 Thinking Habits of Successful Data Scientists'}]"
69,Surrogate models,"Surrogate Models Simplified: Fast Predictions, Easy Implementation",Build Surrogate Models in 10 Minutes: A Quick Guide,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: surrogate models\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Build Surrogate Models in 10 Minutes: A Quick Guide'}]","[{'role': 'assistant', 'content': 'Surrogate Models Simplified: Fast Predictions, Easy Implementation'}]"
70,decision tree ensembles,Master Decision Tree Ensembles in Just 10 Minutes,From Beginner to Expert: Decision Tree Ensembles Guide,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: decision tree ensembles\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Master Decision Tree Ensembles in Just 10 Minutes'}]","[{'role': 'assistant', 'content': 'From Beginner to Expert: Decision Tree Ensembles Guide'}]"
71,Expectation values,How Expectation Values Shape Our Decisions,Unveiling the Secrets of Expectation Values Today,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: expectation values\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How Expectation Values Shape Our Decisions'}]","[{'role': 'assistant', 'content': 'Unveiling the Secrets of Expectation Values Today'}]"
72,model distillation,Simplify Your Model with Distillation Techniques,From Complex to Compact: Model Distillation Made Easy,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: model distillation\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Simplify Your Model with Distillation Techniques'}]","[{'role': 'assistant', 'content': 'From Complex to Compact: Model Distillation Made Easy'}]"
73,Fuzzy decision trees,Fuzzy Logic: The Future of Decision Trees,Build Better Decisions with Fuzzy Logic Trees,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fuzzy decision trees\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Build Better Decisions with Fuzzy Logic Trees'}]","[{'role': 'assistant', 'content': 'Fuzzy Logic: The Future of Decision Trees'}]"
74,How to handle imbalanced data in ML,Imbalanced Data? Here’s How to Balance the Scales,Avoid These 3 Mistakes When Handling Imbalanced Data,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: how to handle imbalanced data in ml\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Avoid These 3 Mistakes When Handling Imbalanced Data'}]","[{'role': 'assistant', 'content': 'Imbalanced Data? Here’s How to Balance the Scales'}]"
75,AI agents,Meet Your New AI Agents: Transforming Daily Tasks,AI Agents vs Humans: Who Wins in Productivity?,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: ai agents\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Meet Your New AI Agents: Transforming Daily Tasks'}]","[{'role': 'assistant', 'content': 'AI Agents vs Humans: Who Wins in Productivity?'}]"
76,Spectral clustering,How Spectral Clustering Can Transform Your Data Analysis,Master Spectral Clustering with These 3 Easy Techniques,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: spectral clustering\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Master Spectral Clustering with These 3 Easy Techniques'}]","[{'role': 'assistant', 'content': 'How Spectral Clustering Can Transform Your Data Analysis'}]"
77,Building a resume optimizer with AI,Build a Resume Optimizer with AI: Code Walkthrough,AI-Powered Resume Optimizer: From Idea to Code,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: building a resume optimizer with ai\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'AI-Powered Resume Optimizer: From Idea to Code'}]","[{'role': 'assistant', 'content': 'Build a Resume Optimizer with AI: Code Walkthrough'}]"
78,reinforcement learning with human feedback (RLHF),5 Key Steps in RLHF for Better AI Models,How RLHF Transforms AI: A Beginner's Guide,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: reinforcement learning with human feedback (rlhf)\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': ""How RLHF Transforms AI: A Beginner's Guide""}]","[{'role': 'assistant', 'content': '5 Key Steps in RLHF for Better AI Models'}]"
79,Spectral clustering,How Spectral Clustering Can Transform Your Data Analysis,Spectral Clustering Simplified: A Step-by-Step Guide,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: spectral clustering\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Spectral Clustering Simplified: A Step-by-Step Guide'}]","[{'role': 'assistant', 'content': 'How Spectral Clustering Can Transform Your Data Analysis'}]"
