idea,title_a,title_b,title_b_preferred
Optimization,How to Optimize Your Workflow in 10 Minutes,Optimization Techniques That Will Change Your Life,1
Silhouette plots,5 Key Insights from Silhouette Plots Revealed,Visualizing Clusters Like a Pro with Silhouette Plots,1
Fine-tuning text embedding models,How to Boost Text Embeddings in Just 30 Minutes,Mastering Text Embeddings: A Step-by-Step Guide,1
Spectral clustering,Unleash the Power of Spectral Clustering in Just 10 Minutes,Master Spectral Clustering with These 3 Easy Techniques,0
Logistic regression,Master Logistic Regression with These 3 Simple Steps,Real-World Examples of Logistic Regression Success,1
Fine-tuning LLMs to think (advanced reasoning),Boost LLMs' Thinking Skills with These Techniques,Advanced LLM Fine-Tuning: Techniques Unveiled,1
5 AI project ideas,From Idea to Reality: 5 AI Projects,5 AI Projects That Make You Look Smart,1
causal discovery,Unlock Causal Discovery in Just 5 Minutes!,How Causal Discovery Can Revolutionize Your Work,0
Neural network dropout,What is Neural Network Dropout? Explained!,Neural Network Dropout: A Beginner's Guide,1
Synthetic data generation with LLMs,Generate Synthetic Data Like a Pro with LLMs,How LLMs Are Transforming Synthetic Data Creation,0
"ROC, AUC. Generalizing to decision trees and other classifiers","ROC, AUC Explained: Your Guide to Decision Trees","Mastering ROC, AUC: From Basics to Decision Trees",1
Surrogate models,"Surrogate Models Simplified: Fast Predictions, Easy Implementation",The Surrogate Model Trick That Doubles Your Prediction Speed,1
Continual learning (ML),Continuous Learning in ML: What You Need to Know,Master ML Continuously: Tips from an Expert,0
data pipelines for ML projects,Build Efficient ML Data Pipelines in 3 Easy Steps,How to Automate Your ML Data Pipeline,1
Fine-tuning LLMs for tool use,5 Steps to Fine-Tune LLMs Like a Pro,How I Fine-Tuned LLMs for Ultimate Tool Integration,1
Interviewing 10 upwork millionaires,10 Upwork Millionaires Reveal Their Secrets!,Top Insights from 10 Upwork Millionaires,0
model quantization,How to Quantize Models for Faster Inference (Explained),The Ultimate Guide to Model Quantization in 2024,1
Building an LLM from scratch,The Ultimate LLM Blueprint: Build One Yourself,LLM from Scratch: My Journey and Lessons Learned,0
FFT,FFT Made Easy: A Beginner's Guide,Unlock FFT: The Fastest Signal Processing Technique,0
principal component analysis,PCA Explained: A Beginner's Guide,Unleash the Power of PCA with These Tips,0
Full-stack data science skillset,Master Full-Stack Data Science in 7 Steps,Build a Full-Stack Data Scientist Skillset,0
Continual learning (ML),Top 5 Resources for Ongoing ML Education,Master ML Continuously: Tips from an Expert,0
LLM Fine-tuning FAQ,10 FAQs About LLM Fine-tuning Solved,What is LLM Fine-tuning? 5 Common Questions Answered,1
Fine-tuning LLMs for tool use,Mastering LLM Fine-Tuning for Real-World Tools,Boost Your LLMs with These Fine-Tuning Techniques,0
Python essentials for data science,10 Python Skills Every Data Scientist Needs,Master Python for Data Science in 30 Minutes,0
Fine-tuning LLMs for tool use,Mastering LLM Fine-Tuning for Real-World Tools,The Ultimate Guide to LLM Fine-Tuning for Tools,1
Evaluating binary classification models,How to Evaluate Binary Classification Models Effectively,Mastering Binary Classification Model Evaluation,0
Self-organizing map,How Self-Organizing Maps Can Revolutionize Data Analysis,Build Your Own Self-Organizing Map in 15 Minutes,1
Neural network dropout,Neural Network Dropout: A Beginner's Guide,Dropout Mechanism in Deep Learning: Simplified,0
FFT,Master FFT in Just 10 Minutes!,FFT Made Easy: A Beginner's Guide,0
Fine-tuning LLMs for computer use,5 Steps to Fine-Tune LLMs Like a Pro,The Ultimate Guide to LLM Fine-Tuning,1
"ROC, AUC. Generalizing to decision trees and other classifiers","Mastering ROC, AUC: From Basics to Decision Trees","Beyond Linear Models: ROC, AUC & Decision Trees",0
Gaussian process regression,Master Gaussian Processes in Minutes,Gaussian Processes: A Beginner's Guide,1
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",KS-test vs KL Divergence: Which One Should You Use?,"Distribution Differences Explained: KS-test, KL, & More",0
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,What is Sensitivity Analysis? | Data Science Essentials,How Sensitivity Analysis Impacts Your Data Projects,0
Self-organizing map,Unsupervised Learning Made Easy: Self-Organizing Maps,Build Your Own Self-Organizing Map in 15 Minutes,1
decision tree ensembles,How Decision Tree Ensembles Can Boost Your Predictions,From Beginner to Expert: Decision Tree Ensembles Guide,0
"AI risk, safety, and alignment",Navigating AI Ethics: What You Need to Know,"The Future of AI: Risks, Safety, and Alignment",1
the Mapper algorithm,5 Key Insights Into the Mapper Algorithm,How the Mapper Algorithm Simplifies Complex Data,1
Fine-tuning text embedding models,Mastering Text Embeddings: A Step-by-Step Guide,Fine-Tuning Text Embeddings Like a Pro,1
Full-stack data science skillset,Master Full-Stack Data Science in 7 Steps,How to Become a Full-Stack Data Scientist in 2024,1
Customer segmentation with text embeddings,Text Embeddings for Smarter Customer Segmentation,How Text Embeddings Simplify Customer Segmentation,0
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",5 Ways to Measure Distribution Differences in 2024,How to Choose the Right Distance Metric for Distributions,1
LLM Fine-tuning FAQ,What is LLM Fine-tuning? 5 Common Questions Answered,LLM Fine-tuning 101: 7 Essential FAQs,1
stable diffusion models,Step-by-Step Guide to Building Stable Diffusion Models,Understanding Stable Diffusion Models for Beginners,0
Fine-tuning LLMs for computer use,How I Fine-Tuned an LLM for Computer Use,Fine-Tuning LLMs: A Comprehensive Guide,0
Gaussian process regression,Gaussian Processes for Predictive Modeling,Introduction to Gaussian Process Regression,1
direct policy optimization (DPO),Maximize Efficiency with Direct Policy Optimization,Unlocking Better Outcomes Through DPO,0
How to handle missing data,Missing Data? 3 Easy Techniques You Need to Know,4 Steps to Fix Missing Data in Your Dataset,0
Python essentials for data science,Python Data Science Essentials: A Quick Guide,From Beginner to Pro: Python for Data Science Basics,0
data pipelines for ML projects,ML Data Pipelines 101: From Start to Finish,Streamline Your ML Workflow with Data Pipelines,1
Customer segmentation with text embeddings,Text Embeddings for Smarter Customer Segmentation,Transform Customer Data with Text Embeddings,0
model pruning,The Surprising Benefits of Model Pruning for Beginners,How to Prune Models Like a Pro in 2024,1
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,Sensitivity Analysis 101: A Data Scientist's Guide,The Power of Sensitivity Analysis in Data Science,0
model distillation,Boost Model Performance with Just 10 Lines of Code,From Complex to Compact: Model Distillation Made Easy,1
Building an LLM from scratch,LLM from Scratch: My Journey and Lessons Learned,How to Build an LLM: The Complete Guide,1
"My $15,000 content creation strategy","My Proven $15,000 Content Creation Blueprint",5 Steps to Doubling Your Content Revenue (Free eBook),0
direct policy optimization (DPO),5 Key Steps in Direct Policy Optimization (DPO),Unlocking Better Outcomes Through DPO,0
Building data pipelines with Python and GitHub actions,Streamline Your Workflow with Python & GitHub Actions,How to Set Up Data Pipelines with Python & GitHub Actions,1
Fine-tuning text embedding models,How to Boost Text Embeddings in Just 30 Minutes,Fine-Tuning Text Embeddings Like a Pro,1
stable diffusion models,Introduction to Stable Diffusion Models: The Basics,How Stable Diffusion Models Generate Stunning Images,0
Silhouette plots,Unleash the Power of Silhouette Plots in 5 Steps,Master Silhouette Plots for Clustering Analysis,1
"My $15,000 content creation strategy",7 Secrets to Boosting Your Content Game (Free!),5 Steps to Doubling Your Content Revenue (Free eBook),0
Fine-tuning LLMs with QLoRA,How I Used QLoRA to Boost LLM Performance,QLoRA: The New Kid on the Fine-Tuning Block,1
Statistics for data scientists,Master Stats for Data Science in 30 Minutes,The 5 Stats Every Data Scientist Needs to Know,1
Intro independent component analysis,How I Simplify Independent Component Analysis in 5 Minutes,Breakdown: Independent Component Analysis for Beginners,1
Hyperparameter optimization,How to Boost Model Performance with Hyperparameter Tuning,Hyperparameter Optimization: A Beginner's Guide,1
2 plots for exploratory data analysis,Exploring Data Like a Pro in 2 Plots,Master 2 Plots for Better EDA,0
Building data pipelines with Python and GitHub actions,Automate Data Pipelines Using Python & GitHub Actions,Master Data Pipelines: Python & GitHub Actions Guide,0
LLM post-training,How LLMs Evolve Post-Training: Insights Revealed,Maximize LLM Potential with Post-Training Techniques,0
"My $15,000 content creation strategy",How I Generated $15K+ with These Content Tactics,From Zero to $15K: My Content Strategy Revealed,1
Building data pipelines with Python and GitHub actions,How to Set Up Data Pipelines with Python & GitHub Actions,Master Data Pipelines: Python & GitHub Actions Guide,0
Building an AI app in 4 days,Build an AI App in 4 Days: My Rapid Development Journey,4-Day Guide: Building Your First AI App,0
RL with AI feedback,Master RL with AI Guidance: 5 Key Steps,AI-Powered RL: Level Up Your Skills,0
GitHub for data science,Git for Data Science: Tips & Tricks You Need to Know,Streamline Your Data Science Workflow with GitHub,1
Mechanistic interpretability,How Mechanistic Interpretability Can Unveil Model Secrets,Unlocking Model Transparency with Mechanistic Interpretability,0
Synthetic data generation with LLMs,5 Ways LLMs Can Revolutionize Synthetic Data,How LLMs Are Transforming Synthetic Data Creation,1
Gaussian process regression,Gaussian Processes for Predictive Modeling,Gaussian Processes: A Beginner's Guide,0
Hierarchical clustering,Build Your Own Hierarchical Clustering Model in 15 Minutes,The Ultimate Guide to Hierarchical Clustering for Data Science,0
Fine-tuning multimodal embedding models,Fine-Tuning Multimodal Embeddings: A Step-by-Step Guide,How to Improve Multimodal Models in Just 30 Minutes,0
RAG,How RAG is Revolutionizing Information Retrieval,Unlock the Power of RAG with These 5 Steps,0
Hierarchical clustering,5 Steps to Master Hierarchical Clustering,The Ultimate Guide to Hierarchical Clustering for Data Science,1
Self-organizing map,Unsupervised Learning Made Easy: Self-Organizing Maps,The Power of Self-Organizing Maps in Dimensionality Reduction,1
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,What is Sensitivity Analysis? | Data Science Essentials,Sensitivity Analysis 101: A Data Scientist's Guide,0
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",KS-test vs KL Divergence: Which One Should You Use?,Wasserstein & Jensen-Shannon: Mastering Distribution Comparisons,0
Data science project management,7 Steps to Manage Data Science Projects Like a Pro,From Chaos to Control: Master Data Science Project Management,0
Data science project management,7 Steps to Manage Data Science Projects Like a Pro,The Ultimate Guide to Data Science Project Management,1
topological data analysis,Simplifying Complex Data with Topological Analysis,Unveiling Patterns: Topological Data Analysis 101,0
LLM evals,The 7 Crucial Tests for Evaluating LLMs Effectively,My Secret Method for LLM Evaluation Success,0
Variational autoencoders,"Encode, Decode, Learn: A Guide to Variational Autoencoders",Master Variational Autoencoders in Just 5 Minutes!,1
causal discovery,How Causal Discovery Can Revolutionize Your Work,Causal Discovery Made Easy: A Beginner’s Guide,1
How to handle imbalanced data in ML,ML Mastery: Fixing Imbalanced Data in 5 Steps,Avoid These 3 Mistakes When Handling Imbalanced Data,1
Intro independent component analysis,5 Key Concepts in Independent Component Analysis,Independent Component Analysis: The Basics Explained,1
persistent homology,Simplifying Persistent Homology for Beginners,Master Persistent Homology: A Step-by-Step Guide,0
Practical use case with decision trees,Real-World Decision Trees: A Practical Guide,Build a Decision Tree in Minutes: Practical Example,0
Evaluating binary classification models,Mastering Binary Classification Model Evaluation,Spotting Model Weaknesses: Binary Classification Edition,0
Hyperparameter optimization,5 Key Hyperparameter Optimization Techniques Explained,Hyperparameter Optimization: A Beginner's Guide,1
Fine-tuning LLMs for computer use,5 Steps to Fine-Tune LLMs Like a Pro,How I Fine-Tuned an LLM for Computer Use,1
Fuzzy decision trees,How Fuzzy Decision Trees Simplify Complex Choices,Build Better Decisions with Fuzzy Logic Trees,1
Habituation in causal inference,Understanding Habituation in Causal Inference,The Role of Habituation in Accurate Causal Inference,0
Full-stack data science skillset,Build a Full-Stack Data Scientist Skillset,Full-Stack Data Science: Your Ultimate Guide,1
How to think like a data scientist,Master Data Science Thinking in 15 Minutes,From Novice to Data Scientist: Thinking Strategies,0
Genetic algorithm,How Genetic Algorithms Can Solve Complex Problems,Build Your Own Genetic Algorithm in 15 Minutes,0
5 physics principles that made me a better data scientist,How Physics Made Me a Better Data Scientist,Apply These 5 Physics Principles to Data Science,0
the Mapper algorithm,5 Key Insights Into the Mapper Algorithm,Mapper Algorithm: The Power Behind Data Analysis,1
principal component analysis,How PCA Can Transform Your Data Analysis,Unleash the Power of PCA with These Tips,0
Genetic algorithm,5 Key Concepts of Genetic Algorithms Simplified,Master Genetic Algorithms with These 3 Simple Steps,1
text embedding models,Introduction to Text Embedding Models: The Basics,Top 3 Text Embedding Models Every Data Scientist Should Know,0
multimodal AI,How Multimodal AI Combines Text & Images,The Power of Multimodal AI in Real-World Applications,1
Spectral clustering,5 Key Concepts in Spectral Clustering Explained,Unleash the Power of Spectral Clustering in Just 10 Minutes,0
5 AI project discovery questions,5 AI Projects to Boost Your Portfolio,How to Find the Best AI Projects in 5 Questions,0
topological data analysis,Top 5 Applications of Topological Data Analysis,How Topological Data Analysis Shapes AI,0
5 biases every data scientist should know (and how to avoid them),Know These 5 Biases to Be a Better Data Scientist,Avoid These 5 Deadly Biases in Data Science (Video),0
Logistic regression,5 Key Points in Logistic Regression Explained,Logistic Regression: The Basics You Need to Know,1
How to think like a data scientist,5 Thinking Habits of Successful Data Scientists,Master Data Science Thinking in 15 Minutes,0
Fourier transform,5 Key Points of Fourier Transform Explained,Decode Any Signal with Fourier Transform Magic,1
Silhouette plots,How Silhouette Plots Can Boost Your Data Analysis,Visualizing Clusters Like a Pro with Silhouette Plots,0
Expectation maximization,5 Key Steps in Expectation Maximization Explained,Unleash the Power of Expectation Maximization in 5 Minutes,1
Customer segmentation with text embeddings,Unlock Customer Insights with Text Embeddings,Text Embeddings for Smarter Customer Segmentation,1
Fine-tuning LLMs with QLoRA,5 Steps to Fine-Tune LLMs with QLoRA,QLoRA: The New Kid on the Fine-Tuning Block,0
text embedding models,Introduction to Text Embedding Models: The Basics,How Text Embedding Models Transform NLP,0
Surrogate models,"Surrogate Models Simplified: Fast Predictions, Easy Implementation",How Surrogate Models Can Boost Your Machine Learning Workflow,0
5 physics principles that made me a better data scientist,Physics Meets Data Science: 5 Key Concepts,5 Surprising Physics Concepts That Improved My Data Science,1
wavelet transform,Master Wavelet Transform in Just 10 Minutes!,Quick Guide to Wavelet Transform for Beginners,0
Time series forecasting techniques,5 Essential Time Series Forecasting Techniques,Time Series Forecasting Made Easy: 4 Key Techniques,0
How to measure fat tailed distributions,5 Key Methods for Taming Fat Tailed Distributions,Mastering Fat Tailed Distributions: A Step-by-Step Guide,1
AI engineer vs ML engineer,Key Differences: AI Engineer vs ML Engineer Explained,The AI Engineer vs ML Engineer Debate: Who Should You Be?,0
"P-Values. definition, examples, and misconceptions",5 Key Points About P-Values You Need to Know,"P-Values 101: Definitions, Examples, and Common Misunderstandings",0
Fine-tuning BERT for text classification,Boost Your Text Classification Game with BERT Fine-Tuning,From Raw Data to Classification Model: Fine-Tuning BERT Efficiently,0
5 physics principles that made me a better data scientist,5 Physics Principles That Boosted My Data Science Skills,Physics Meets Data Science: 5 Key Concepts,0
Silhouette plots,Unleash the Power of Silhouette Plots in 5 Steps,Visualizing Clusters Like a Pro with Silhouette Plots,1
Fourier transform,Master Fourier Transform in Just 5 Minutes,Decode Any Signal with Fourier Transform Magic,0
What is entropy?,Entropy Explained in 5 Minutes,The Simple Truth About Entropy,0
direct policy optimization (DPO),How DPO Revolutionizes Reinforcement Learning,Maximize Efficiency with Direct Policy Optimization,0
"Probability, likelihood, odds, chance, odds ratio",Probability vs Likelihood vs Odds: What’s the Difference?,"The Essential Guide to Probability, Likelihood, and Odds",0
Why I quit my 6F data science job,From Data Scientist to Entrepreneur: My Unexpected Path,My Shocking 1-Year Post-Job Quit Success Story,0
Customer segmentation with text embeddings,Unlock Customer Insights with Text Embeddings,How Text Embeddings Simplify Customer Segmentation,0
Expectation maximization,How Expectation Maximization Can Boost Your Data Science Skills,Unleash the Power of Expectation Maximization in 5 Minutes,1
Fine-tuning LLMs for computer use,How I Fine-Tuned an LLM for Computer Use,The Ultimate Guide to LLM Fine-Tuning,0
Gini value vs gini coefficient vs Gini impurity,Gini Value vs Coefficient vs Impurity: A Quick Guide,"Gini Value, Coefficient, & Impurity: Which One to Use?",0
fine-tuning LLMs,Fine-Tuning LLMs: From Beginner to Expert,Boost Your LLM Skills with These Fine-Tuning Techniques,0
Expectation maximization,Solving Complex Problems with Expectation Maximization,Maximizing Expectations: A Beginner's Guide to EM Algorithm,1
How to handle imbalanced data in ML,5 Tricks to Handle Imbalanced Data Like a Pro,ML Mastery: Fixing Imbalanced Data in 5 Steps,0
RAG,Why RAG is the Future of Knowledge Bases,Unlock the Power of RAG with These 5 Steps,0
"Fractals, self similarity, and crinkliness",Self-Similarity in Nature: From Trees to Coastlines,The Math Behind Fractals: Crinkliness and Beyond,0
causal inference,Understand Causal Inference in 5 Minutes,The Power of Causal Inference Explained,0
causal discovery,The Ultimate Guide to Causal Discovery,Causal Discovery Made Easy: A Beginner’s Guide,1
Hierarchical clustering,Unleash the Power of Hierarchical Clustering Today!,Build Your Own Hierarchical Clustering Model in 15 Minutes,1
